Season,Team,Matches,Won,Lost,Tied,No Result,Points,NRR,For Runs,Aggainst Runs
2008,Rajasthan Royals,14,11,3,0,0,22,+0.632,"2,245/261.1","2,153/270.2"
2008,Punjab Kings,14,10,4,0,0,20,+0.509,"2,352/259.5","2,271/265.5"
2008,Chennai Super Kings,14,8,6,0,0,16,-0.192,"2,241/264.2","2,195/253.1"
2008,Delhi Capitals,14,7,6,0,1,15,+0.342,"2,001/233.2","2,031/246.4"
2008,Mumbai Indians,14,7,7,0,0,14,+0.570,"2,080/249.1","2,096/269.3"
2008,Kolkata Knight Riders,14,6,7,0,1,13,-0.147,"1,845/242.4","1,718/221.4"
2008,Royal Challengers Bangalore,14,4,10,0,0,8,-1.160,"1,983/272.4","2,205/261.3"
2008,Deccan Chargers,14,2,12,0,0,4,-0.467,"2,229/270","2,307/264.3"
2009,Delhi Capitals,14,10,4,0,0,20,+0.311,"1,978/255.2","1,953/262.4"
2009,Chennai Super Kings,14,8,5,0,1,17,+0.951,"2,086/255.3","1,855/257.1"
2009,Royal Challengers Bangalore,14,8,6,0,0,16,-0.191,"1,994/276","2,027/273.2"
2009,Deccan Chargers,14,7,7,0,0,14,+0.203,"2,111/272.4","2,097/278.1"
2009,Punjab Kings,14,7,7,0,0,14,-0.483,"1,787/251.2","1,887/248.3"
2009,Rajasthan Royals,14,6,7,0,1,13,-0.352,"1,688/253.1","1,810/257.5"
2009,Mumbai Indians,14,5,8,0,1,11,+0.297,"1,897/256.2","1,802/253.4"
2009,Kolkata Knight Riders,14,3,10,0,1,7,-0.789,"1,757/248.5","1,867/237.5"
2010,Mumbai Indians,14,10,4,0,0,20,+1.084,"2,408/277","2,100/276"
2010,Deccan Chargers,14,8,6,0,0,16,-0.297,"2,188/277.4","2,254/275.4"
2010,Chennai Super Kings,14,7,7,0,0,14,+0.274,"2,285/271.1","2,257/276.5"
2010,Royal Challengers Bangalore,14,7,7,0,0,14,+0.219,"2,166/260.4","2,245/277.3"
2010,Delhi Capitals,14,7,7,0,0,14,+0.021,"2,155/275.4","2,166/277.5"
2010,Kolkata Knight Riders,14,7,7,0,0,14,-0.341,"2,144/273","2,192/267.3"
2010,Rajasthan Royals,14,6,8,0,0,12,-0.514,"2,179/270.4","2,224/259.4"
2010,Punjab Kings,14,4,10,0,0,8,-0.478,"2,278/276.2","2,365/271.1"
2011,Royal Challengers Bangalore,14,9,4,0,1,19,+0.326,"1,962/237","2,000/251.3"
2011,Chennai Super Kings,14,9,5,0,0,18,+0.443,"2,118/265.1","1,978/262.1"
2011,Mumbai Indians,14,9,5,0,0,18,+0.040,"1,998/275.2","1,951/270.2"
2011,Kolkata Knight Riders,14,8,6,0,0,16,+0.433,"1,888/249.2","1,861/260.4"
2011,Punjab Kings,14,7,7,0,0,14,-0.051,"2,224/275.4","2,173/267.4"
2011,Rajasthan Royals,14,6,7,0,1,13,-0.691,"1,687/242.2","1,801/235.2"
2011,Deccan Chargers,14,6,8,0,0,12,+0.222,"2,140/279.2","2,037/273.5"
